WORD,COUNT
laboral,2
lado,3
largo,1
latina,1
leer,1
lejos,3
ley,4
liceos,1
liderazgo,1
llama,1
llamado,1
llegado,1
llegar,6
llegó,1
llena,1
llenar,1
lleno,1
llevado,1
llevamos,1
llevar,4
llevarlo,1
llevaron,1
logra,1
lucha,1
lugar,4
lugares,1
lujo,1
machucar,1
maciel,1
madera,1
madres,1
magnitud,1
manera,1
mantener,1
mantenerla,1
mantenido,1
maravillosas,2
marco,1
masificar,1
matemática,1
maternas,1
matrimonio,1
matriz,4
matrícula,1
mayor,1
mañana,1
media,2
medida,1
medidas,1
medio,3
mejor,6
mejorar,1
menos,1
mentiras,1
mercados,2
merecemos,1
migrantes,1
mil,1
miles,4
militar,1
militares,4
militarización,1
minutos,1
mirada,1
miren,1
mismo,2
mitad,3
modelo,3
modelos,4
momento,2
montevideo,4
montón,1
mortalidad,2
movimientos,3
muchas,6
muertes,1
mujeres,4
multiplicar,2
multitudinarias,1
mundial,2
mundo,18
máxima,1
nacional,9
nadie,8
narco,2
necesita,3
necesitamos,2
neoliberales,1
nivel,1
niñas,2
niños,2
nueva,3
nuevas,2
nuevo,3
nuevos,1
nunca,4
objetivos,1
obligatoriamente,1
obra,1
obreros,1
olimpíadas,1
ollas,1
operativos,2
oportunidad,1
oportunidades,5
oposición,2
organismos,1
organizado,1
orgullo,1
orgullosa,1
pado,1
pagos,2
palabra,2
paradoja,1
parece,1
parecían,1
pared,1
parte,3
partido,4
partidos,2
partir,1
pasa,1
pasan,1
pasar,2
pase,1
pasó,1
patria,1
patrullaje,1
paz,1
país,30
pbi,5
película,3
pensamos,1
pensando,1
pensar,2
peor,2
periodista,1
perlas,1
permanentemente,1
permite,1
personas,2
período,3
pesar,1
peso,1
piensan,1
pitcnt,1
plan,8
planear,1
planes,2
plataformas,1
pleno,2
población,3
pobreza,1
pocitos,1
pocos,1
podemos,13
poderes,1
podríamos,3
podían,1
policiales,1
policía,3
policías,1
política,1
políticas,1
político,1
políticos,1
pone,1
ponen,1
poner,1
ponerse,1
pongo,1
poniendo,1
populares,1
porvenir,1
posible,3
